"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 18 18:36:47 GMT 2022","Mon Jul 18 18:36:50 GMT 2022","2839","firefox","failing-test.test.ts","GitHub - Search Result","","","should verify ""We couldn’t find any repositories"" message, after entering invalid keyword",""
"passed","Mon Jul 18 18:35:55 GMT 2022","Mon Jul 18 18:35:56 GMT 2022","628","chromium","example.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Mon Jul 18 18:36:24 GMT 2022","Mon Jul 18 18:36:25 GMT 2022","993","firefox","example.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Mon Jul 18 18:36:15 GMT 2022","Mon Jul 18 18:36:19 GMT 2022","3009","chromium","github-search.test.ts","GitHub - Search Result","","","should verify search result with valid repository name",""
"passed","Mon Jul 18 18:36:25 GMT 2022","Mon Jul 18 18:36:26 GMT 2022","952","firefox","example.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Mon Jul 18 18:36:00 GMT 2022","Mon Jul 18 18:36:00 GMT 2022","687","chromium","example.spec.ts","Editing","","","should save edits on blur",""
"passed","Mon Jul 18 18:35:53 GMT 2022","Mon Jul 18 18:35:54 GMT 2022","474","chromium","example.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Mon Jul 18 18:35:57 GMT 2022","Mon Jul 18 18:35:58 GMT 2022","630","chromium","example.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Mon Jul 18 18:36:43 GMT 2022","Mon Jul 18 18:36:44 GMT 2022","1090","firefox","example.spec.ts","Routing","","","should allow me to display all items",""
"passed","Mon Jul 18 18:35:56 GMT 2022","Mon Jul 18 18:35:57 GMT 2022","755","chromium","example.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Mon Jul 18 18:36:33 GMT 2022","Mon Jul 18 18:36:34 GMT 2022","1022","firefox","example.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Mon Jul 18 18:36:19 GMT 2022","Mon Jul 18 18:36:22 GMT 2022","2976","firefox","example.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Mon Jul 18 18:36:28 GMT 2022","Mon Jul 18 18:36:29 GMT 2022","1009","firefox","example.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Mon Jul 18 18:36:50 GMT 2022","Mon Jul 18 18:36:54 GMT 2022","3638","firefox","github-search.test.ts","GitHub - Search Result","","","should verify search result with valid repository name",""
"passed","Mon Jul 18 18:36:26 GMT 2022","Mon Jul 18 18:36:27 GMT 2022","1043","firefox","example.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Mon Jul 18 18:35:58 GMT 2022","Mon Jul 18 18:35:58 GMT 2022","635","chromium","example.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Mon Jul 18 18:36:42 GMT 2022","Mon Jul 18 18:36:43 GMT 2022","926","firefox","example.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Mon Jul 18 18:36:02 GMT 2022","Mon Jul 18 18:36:02 GMT 2022","647","chromium","example.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Mon Jul 18 18:36:27 GMT 2022","Mon Jul 18 18:36:28 GMT 2022","898","firefox","example.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Mon Jul 18 18:36:32 GMT 2022","Mon Jul 18 18:36:33 GMT 2022","930","firefox","example.spec.ts","Editing","","","should trim entered text",""
"passed","Mon Jul 18 18:36:07 GMT 2022","Mon Jul 18 18:36:07 GMT 2022","722","chromium","example.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Mon Jul 18 18:36:40 GMT 2022","Mon Jul 18 18:36:42 GMT 2022","1124","firefox","example.spec.ts","Routing","","","should respect the back button",""
"passed","Mon Jul 18 18:36:06 GMT 2022","Mon Jul 18 18:36:07 GMT 2022","798","chromium","example.spec.ts","Routing","","","should respect the back button",""
"passed","Mon Jul 18 18:36:02 GMT 2022","Mon Jul 18 18:36:03 GMT 2022","495","chromium","example.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Mon Jul 18 18:36:07 GMT 2022","Mon Jul 18 18:36:08 GMT 2022","858","chromium","example.spec.ts","Routing","","","should allow me to display all items",""
"passed","Mon Jul 18 18:35:54 GMT 2022","Mon Jul 18 18:35:54 GMT 2022","651","chromium","example.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Mon Jul 18 18:35:54 GMT 2022","Mon Jul 18 18:35:55 GMT 2022","493","chromium","example.spec.ts","New Todo","","","should show #main and #footer when items added",""
"passed","Mon Jul 18 18:36:45 GMT 2022","Mon Jul 18 18:36:47 GMT 2022","2392","firefox","failing-test.test.ts","GitHub - Search Result","","","should verify search result with valid repository name",""
"passed","Mon Jul 18 18:36:31 GMT 2022","Mon Jul 18 18:36:32 GMT 2022","944","firefox","example.spec.ts","Editing","","","should save edits on blur",""
"passed","Mon Jul 18 18:36:22 GMT 2022","Mon Jul 18 18:36:23 GMT 2022","701","firefox","example.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Mon Jul 18 18:36:03 GMT 2022","Mon Jul 18 18:36:04 GMT 2022","663","chromium","example.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Mon Jul 18 18:36:37 GMT 2022","Mon Jul 18 18:36:38 GMT 2022","918","firefox","example.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Mon Jul 18 18:36:29 GMT 2022","Mon Jul 18 18:36:30 GMT 2022","915","firefox","example.spec.ts","Item","","","should allow me to edit an item",""
"passed","Mon Jul 18 18:36:03 GMT 2022","Mon Jul 18 18:36:03 GMT 2022","621","chromium","example.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Mon Jul 18 18:36:35 GMT 2022","Mon Jul 18 18:36:36 GMT 2022","770","firefox","example.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Mon Jul 18 18:36:39 GMT 2022","Mon Jul 18 18:36:40 GMT 2022","1064","firefox","example.spec.ts","Routing","","","should allow me to display active items",""
"passed","Mon Jul 18 18:36:05 GMT 2022","Mon Jul 18 18:36:05 GMT 2022","618","chromium","example.spec.ts","Persistence","","","should persist its data",""
"passed","Mon Jul 18 18:35:52 GMT 2022","Mon Jul 18 18:35:53 GMT 2022","1319","chromium","example.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Mon Jul 18 18:36:37 GMT 2022","Mon Jul 18 18:36:37 GMT 2022","850","firefox","example.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"failed","Mon Jul 18 18:36:12 GMT 2022","Mon Jul 18 18:36:15 GMT 2022","2594","chromium","failing-test.test.ts","GitHub - Search Result","","","should verify ""We couldn’t find any repositories"" message, after entering invalid keyword",""
"passed","Mon Jul 18 18:36:30 GMT 2022","Mon Jul 18 18:36:31 GMT 2022","832","firefox","example.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Mon Jul 18 18:36:34 GMT 2022","Mon Jul 18 18:36:35 GMT 2022","937","firefox","example.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Mon Jul 18 18:36:08 GMT 2022","Mon Jul 18 18:36:09 GMT 2022","667","chromium","example.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Mon Jul 18 18:35:56 GMT 2022","Mon Jul 18 18:35:56 GMT 2022","643","chromium","example.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
